# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: 2024
#
   #    World Rank   ,  Institution   ,  Country   ,   
    601-700  ,   University of Luxembourg   ,Luxembourg   
    601-700  ,   National Polytechnic Institute    ,Mexico   
    601-700  ,   National University of Malaysia   ,Malaysia   
    601-700  ,   University of Putra Malaysia   ,Malaysia   
    601-700  ,   University of Science - Malaysia   ,Malaysia   
    601-700  ,   Chiang Mai University   ,Thailand   
    601-700  ,   Chulalongkorn University   ,Thailand   
    601-700  ,   Mahidol University   ,Thailand   
    601-700  ,   Chang Gung University   ,Taiwan   
    601-700  ,   National Sun Yat-Sen University   ,Taiwan   
    601-700  ,   Liverpool John Moores University   ,UK   
    601-700  ,   The Manchester Metropolitan University   ,UK   
    601-700  ,   Bangor University   ,UK   
    601-700  ,   North-West University   ,South Africa   
    601-700  ,   Colorado School of Mines   ,USA   
    601-700  ,   University of Louisville   ,USA   
    601-700  ,   University of Maryland Baltimore County   ,USA   
    601-700  ,   Wayne State University   ,USA   
    601-700  ,   University of Nevada - Las Vegas   ,USA   
    601-700  ,   University of Nevada - Reno   ,USA   
    601-700  ,   University of New Hampshire   ,USA   
    601-700  ,   University of Toledo   ,USA   
    601-700  ,   Thomas Jefferson University   ,USA   
    601-700  ,   University of Texas at San Antonio   ,USA   
    601-700  ,   Brigham Young University   ,USA   
    601-700  ,   Medical College of Wisconsin   ,USA   
    601-700  ,   University of Alabama   ,USA   
    601-700  ,   Ural Federal University   ,Russia   
    601-700  ,   Marche Polytechnic University   ,Italy   
    601-700  ,   Khalifa University   ,United Arab Emirates   
    601-700  ,   University of Natural Resources and Life Sciences   ,Austria   
    601-700  ,   China University of Petroleum (Beijing)   ,China   
    601-700  ,   Nantong University   ,China   
    601-700  ,   Yanshan University   ,China   
    601-700  ,   University Clermont Auvergne   ,France   
    601-700  ,   COMSATS University Islamabad   ,Pakistan   
    601-700  ,   Humanitas University   ,Italy   
    601-700  ,   Fujian Agriculture and Forestry University   ,China   
    601-700  ,   Wenzhou University   ,China   
    601-700  ,   Duke-NUS Medical School   ,Singapore   
    601-700  ,   Zhejiang Chinese Medical University   ,China   
    601-700  ,   Qilu University of Technology   ,China   
    601-700  ,   Shandong First Medical University   ,China   
    601-700  ,   University of Health Sciences Turkey   ,Turkey   
    601-700  ,   Prince Sattam Bin Abdulaziz University   ,Saudi Arabia   
    701-800  ,   University of Sharjah   ,United Arab Emirates   
    701-800  ,   University of the Sunshine Coast   ,Australia   
    701-800  ,   Hasselt University   ,Belgium   
    701-800  ,   Federal University of Santa Catarina   ,Brazil   
    701-800  ,   Federal University of Santa Maria   ,Brazil   
    701-800  ,   Federal University of Sao Paulo   ,Brazil   
    701-800  ,   Federal University of Paraná   ,Brazil   
    701-800  ,   University of Brasília   ,Brazil   
    701-800  ,   University of Concepción   ,Chile   
    701-800  ,   Beijing Forestry University   ,China   
    701-800  ,   Chengdu University of Technology   ,China   
    701-800  ,   China Medical University   ,China   
    701-800  ,   Chongqing University of Posts and Telecommunications   ,China   
    701-800  ,   Harbin Medical University   ,China   
    701-800  ,   Hubei University   ,China   
    701-800  ,   Shantou University   ,China   
    701-800  ,   University of International Business and Economics   ,China   
    701-800  ,   Xinjiang University   ,China   
    701-800  ,   Zhejiang Normal University   ,China   
    701-800  ,   University of Cyprus   ,Cyprus   
    701-800  ,   Brno University of Technology   ,Czech Republic   
    701-800  ,   University of Oldenburg   ,Germany   
    701-800  ,   University of Greifswald   ,Germany   
    701-800  ,   University of Magdeburg   ,Germany   
    701-800  ,   University of Augsburg   ,Germany   
    701-800  ,   Copenhagen Business School   ,Denmark   
    701-800  ,   Al Azhar University   ,Egypt   
    701-800  ,   Zagazig University   ,Egypt   
    701-800  ,   University of Alcalá de Henares   ,Spain   
    701-800  ,   University of Castilla-La Mancha   ,Spain   
    701-800  ,   University of Extremadura   ,Spain   
    701-800  ,   University of Málaga   ,Spain   
    701-800  ,   University of Rovira i Virgili   ,Spain   
    701-800  ,   University of Lleida   ,Spain   
    701-800  ,   Indian Institute of Technology - Roorkee   ,India   
    701-800  ,   SRM Institute Of Science and Technology ( Deemed University)   ,India   
    701-800  ,   Iran University of Medical Sciences   ,Iran   
    701-800  ,   Sharif University of Technology   ,Iran   
    701-800  ,   University of Calabria   ,Italy   
    701-800  ,   University of Ferrara   ,Italy   
    701-800  ,   University of Palermo   ,Italy   
    701-800  ,   Kindai University   ,Japan   
    701-800  ,   Kitasato University   ,Japan   
    701-800  ,   Chonbuk National University   ,South Korea   
    701-800  ,   Chung-Ang University   ,South Korea   
    701-800  ,   Chungbuk National University   ,South Korea   
    701-800  ,   Chungnam National University   ,South Korea   
    701-800  ,   Tilburg University   ,Netherlands   
    701-800  ,   Norwegian University of Life Sciences   ,Norway   
    701-800  ,   University of the Punjab   ,Pakistan   
    701-800  ,   New University of Lisbon   ,Portugal   
    701-800  ,   Higher School of Economics   ,Russia   
    701-800  ,   Umm Al-Qura University   ,Saudi Arabia   
    701-800  ,   Stockholm School of Economics   ,Sweden   
    701-800  ,   Hacettepe University   ,Turkey   
    701-800  ,   Istanbul Technical University   ,Turkey   
    701-800  ,   Koc University   ,Turkey   
    701-800  ,   National Taiwan University of Science and Technology   ,Taiwan   
    701-800  ,   Taipei Medical University   ,Taiwan   
    701-800  ,   Brunel University   ,UK   
    701-800  ,   Loughborough University   ,UK   
    701-800  ,   Open University   ,UK   
    701-800  ,   St George's - University of London   ,UK   
    701-800  ,   University of Greenwich   ,UK   
    701-800  ,   University of Hull   ,UK   
    701-800  ,   University of Northumbria at Newcastle   ,UK   
    701-800  ,   University of Plymouth   ,UK   
    701-800  ,   University of Ulster   ,UK   
    701-800  ,   University of Idaho   ,USA   
    701-800  ,   New Jersey Institute of Technology   ,USA   
    701-800  ,   Rutgers - The State University of New Jersey   ,USA   
    701-800  ,   State University of New York at Albany   ,USA   
    701-800  ,   Syracuse University   ,USA   
    701-800  ,   Kent State University   ,USA   
    701-800  ,   Ohio University   ,USA   
    701-800  ,   Clemson University   ,USA   
    701-800  ,   Southern Methodist University   ,USA   
    701-800  ,   University of Texas at Arlington   ,USA   
    701-800  ,   University of Wyoming   ,USA   
    701-800  ,   University of Jyvaskyla   ,Finland   
    701-800  ,   University of Tennessee Health Science Center   ,USA   
    701-800  ,   University of Eastern Finland   ,Finland   
    701-800  ,   King Fahd University of Petroleum & Minerals   ,Saudi Arabia   
    701-800  ,   University Paris-Est Créteil Val de Marne   ,France   
    701-800  ,   Technical University of Dortmund   ,Germany   
    701-800  ,   Shahid Beheshti University of Medical Sciences   ,Iran   
    701-800  ,   Uppsala University   ,Sweden   
    701-800  ,   Army Medical University   ,China   
    701-800  ,   Henan University of Science and Technology   ,China   
    701-800  ,   University of Eastern Piedmont   ,Italy   
    701-800  ,   Asia University   ,Taiwan   
    701-800  ,   Southwestern University of Finance and Economics   ,China   
    701-800  ,   Chang'an University   ,China   
    701-800  ,   Beijing Technology and Business University   ,China   
    701-800  ,   Lanzhou University of Technology   ,China   
    701-800  ,   Shanghai Ocean University   ,China   
    701-800  ,   Homi Bhabha National Institute   ,India   
    701-800  ,   Qassim University   ,Saudi Arabia   
    701-800  ,   Xi'an University of Science and Technology   ,China   
    701-800  ,   Suzhou University of Science and Technology   ,China   
    801-900  ,   National University de C�rdoba   ,Argentina   
    801-900  ,   United Arab Emirates University   ,United Arab Emirates   
    801-900  ,   University of Linz   ,Austria   
    801-900  ,   Graz University of Technology   ,Austria   
    801-900  ,   University of Salzburg   ,Austria   
    801-900  ,   University of Canberra   ,Australia   
    801-900  ,   Federal University of S�o Carlos   ,Brazil   
    801-900  ,   Federal University of Vi�osa   ,Brazil   
    801-900  ,   Memorial University of Newfoundland   ,Canada   
    801-900  ,   University of Québec at Montreal   ,Canada   
    801-900  ,   University of Regina   ,Canada   
    801-900  ,   Capital Normal University   ,China   
    801-900  ,   Chengdu University of Technology   ,China   
    801-900  ,   China Pharmaceutical University   ,China   
    801-900  ,   Hebei Medical University   ,China   
    801-900  ,   Heilongjiang University   ,China   
    801-900  ,   Jiangxi Normal University   ,China   
    801-900  ,   Jimei University   ,China   
    801-900  ,   Liaocheng Teachers University   ,China   
    801-900  ,   Shandong Normal University   ,China   
    801-900  ,   Shanghai Normal University   ,China   
    801-900  ,   Sichuan Agricultural University   ,China   
    801-900  ,   South China Normal University   ,China   
    801-900  ,   Xi'an University of Architecture and Technology   ,China   
    801-900  ,   Xiangtan University   ,China   
    801-900  ,   Zhongnan University of Economics and Law   ,China   
    801-900  ,   National University of Colombia   ,Colombia   
    801-900  ,   Czech Technical University of Prague   ,Czech Republic   
    801-900  ,   University of Kassel   ,Germany   
    801-900  ,   Polytechnic University of Catalonia   ,Spain   
    801-900  ,   University of Oviedo   ,Spain   
    801-900  ,   University of Vigo   ,Spain   
    801-900  ,   Institut National des Sciences Appliqu�es de Toulouse   ,France   
    801-900  ,   University of Burgundy   ,France   
    801-900  ,   University Savoie Mont Blanc   ,France   
    801-900  ,   National Technical University of Athens   ,Greece   
    801-900  ,   University of Crete   ,Greece   
    801-900  ,   University of Thessaly   ,Greece   
    801-900  ,   Education University of Hong Kong   ,Hong Kong   
    801-900  ,   Budapest University of Technology and Economics   ,Hungary   
    801-900  ,   National University of Ireland - Maynooth   ,Ireland   
    801-900  ,   University of Limerick   ,Ireland   
    801-900  ,   Aligarh Muslim University   ,India   
    801-900  ,   Indian Institute of Technology - Kharagpur   ,India   
    801-900  ,   Indian Institute of Technology - Madras   ,India   
    801-900  ,   Campus Bio-Medico University of Rome   ,Italy   
    801-900  ,   Free University of Bozen-Bolzano   ,Italy   
    801-900  ,   Polytechnic University of Bari   ,Italy   
    801-900  ,   Scuola Normale Superiore di Pisa   ,Italy   
    801-900  ,   University of Campania Luigi Vanvitelli   ,Italy   
    801-900  ,   University of Cagliari   ,Italy   
    801-900  ,   University of Messina   ,Italy   
    801-900  ,   University of Modena   ,Italy   
    801-900  ,   University of Salerno   ,Italy   
    801-900  ,   Jordan University   ,Jordan   
    801-900  ,   Graduate University for Advanced Studies   ,Japan   
    801-900  ,   Kanazawa University   ,Japan   
    801-900  ,   Nagasaki University   ,Japan   
    801-900  ,   Catholic University of Korea   ,South Korea   
    801-900  ,   Dongguk University   ,South Korea   
    801-900  ,   Kangwon National University   ,South Korea   
    801-900  ,   American University of Beirut   ,Lebanon   
    801-900  ,   Auckland University of Technology   ,New Zealand   
    801-900  ,   Massey University   ,New Zealand   
    801-900  ,   University of Waikato   ,New Zealand   
    801-900  ,   Novosibirsk State University   ,Russia   
    801-900  ,   King Faisal University   ,Saudi Arabia   
    801-900  ,   Ankara University   ,Turkey   
    801-900  ,   National Chung Hsing University - Taipei   ,Taiwan   
    801-900  ,   Birkbeck - University of London   ,UK   
    801-900  ,   Cranfield University   ,UK   
    801-900  ,   Heriot-Watt University   ,UK   
    801-900  ,   Nottingham Trent University   ,UK   
    801-900  ,   University of Stirling   ,UK   
    801-900  ,   University of Alaska - Fairbanks   ,USA   
    801-900  ,   Florida Atlantic University   ,USA   
    801-900  ,   University of Missouri - Kansas City   ,USA   
    801-900  ,   University of Rhode Island   ,USA   
    801-900  ,   University of Texas at El Paso   ,USA   
    801-900  ,   Old Dominion University   ,USA   
    801-900  ,   University of Wisconsin-Milwaukee   ,USA   
    801-900  ,   Royal Holloway - University of London   ,UK   
    801-900  ,   Gda�sk University of Technology   ,Poland   
    801-900  ,   Royal Veterinary College    ,UK   
    801-900  ,   University of Girona   ,Spain   
    801-900  ,   Czech University of Life Sciences Prague   ,Czech Republic   
    801-900  ,   Northeast Forestry University   ,China   
    801-900  ,   Gachon University   ,South Korea   
    801-900  ,   Hangzhou Normal University   ,China   
    801-900  ,   Southwest Petroleum University   ,China   
    801-900  ,   Anhui Agricultural University   ,China   
    801-900  ,   Wuhan University of Science and Technology   ,China   
    801-900  ,   Xuzhou Medical College   ,China   
    801-900  ,   Shaanxi University of Science and Technology   ,China   
    801-900  ,   Qingdao Agricultural University   ,China   
    801-900  ,   Skolkovo Institute of Science and Technology   ,Russia   
    801-900  ,   Istanbul University Cerrahpasa   ,Turkey   
    801-900  ,   Saveetha Institute of Medical and Technical Sciences   ,India   
    801-900  ,   SUNY Downstate Health Sciences University   ,USA   
    801-900  ,   University of Texas Rio Grande Valley   ,USA   
    901-1000  ,   Charles Sturt University   ,Australia   
    901-1000  ,   Federal University of Bahia   ,Brazil   
    901-1000  ,   Federal University of Goi�s   ,Brazil   
    901-1000  ,   Federal University of Pelotas   ,Brazil   
    901-1000  ,   Federal University of Pernambuco   ,Brazil   
    901-1000  ,   Federal University of Cear�   ,Brazil   
    901-1000  ,   Lakehead University   ,Canada   
    901-1000  ,   University of New Brunswick   ,Canada   
    901-1000  ,   National University Andr�s Bello   ,Chile   
    901-1000  ,   Dalian Medical University   ,China   
    901-1000  ,   Guangzhou University of Traditional Chinese Medicine   ,China   
    901-1000  ,   Harbin University of Science and Technology   ,China   
    901-1000  ,   Henan Agricultural University   ,China   
    901-1000  ,   Inner Mongolia University   ,China   
    901-1000  ,   Jiangsu University   ,China   
    901-1000  ,   Huaqiao University   ,China   
    901-1000  ,   North China University of Technology   ,China   
    901-1000  ,   Shanghai University of Finance and Economics   ,China   
    901-1000  ,   Shanghai University of Traditional Chinese Medicine and Pharmacology   ,China   
    901-1000  ,   Yantai University   ,China   
    901-1000  ,   University of Wuppertal   ,Germany   
    901-1000  ,   University of Hohenheim   ,Germany   
    901-1000  ,   Kaiserslautern University of Technology   ,Germany   
    901-1000  ,   Suez Canal University   ,Egypt   
    901-1000  ,   Tanta University   ,Egypt   
    901-1000  ,   University Carlos III de Madrid   ,Spain   
    901-1000  ,   University of Cantabria   ,Spain   
    901-1000  ,   University of C�diz   ,Spain   
    901-1000  ,   University of C�rdoba   ,Spain   
    901-1000  ,   University of Ja�n   ,Spain   
    901-1000  ,   University of Valladolid   ,Spain   
    901-1000  ,   University of Poitiers   ,France   
    901-1000  ,   University of Ghana   ,Ghana   
    901-1000  ,   University of Patras   ,Greece   
    901-1000  ,   Dublin City University   ,Ireland   
    901-1000  ,   Banaras Hindu University   ,India   
    901-1000  ,   Indian Institute of Technology - Kanpur   ,India   
    901-1000  ,   Manipal University   ,India   
    901-1000  ,   University of Calcutta   ,India   
    901-1000  ,   Iran University of Science and Technology Tehran   ,Iran   
    901-1000  ,   University of Tabriz   ,Iran   
    901-1000  ,   Roma Tre University   ,Italy   
    901-1000  ,   University of Udine   ,Italy   
    901-1000  ,   Juntendo University   ,Japan   
    901-1000  ,   Kumamoto University   ,Japan   
    901-1000  ,   Tokushima University   ,Japan   
    901-1000  ,   Tokyo University of Agriculture and Technology   ,Japan   
    901-1000  ,   Yokohama City University   ,Japan   
    901-1000  ,   Ajou University   ,South Korea   
    901-1000  ,   Gyeongsang National University   ,South Korea   
    901-1000  ,   Hallym University   ,South Korea   
    901-1000  ,   National University of Sciences and Technology - Islamabad   ,Pakistan   
    901-1000  ,   University of Lahore   ,Pakistan   
    901-1000  ,   Adam Mickiewicz University in Poznan   ,Poland   
    901-1000  ,   Nicolaus Copernicus University   ,Poland   
    901-1000  ,   Warsaw University of Technology   ,Poland   
    901-1000  ,   AGH University of Science and Technology   ,Poland   
    901-1000  ,   Comenius University in Bratislava   ,Slovakia   
    901-1000  ,   University of Tunis El Manar   ,Tunisia   
    901-1000  ,   Ataturk University   ,Turkey   
    901-1000  ,   Cukurova University   ,Turkey   
    901-1000  ,   Ege University   ,Turkey   
    901-1000  ,   National Central University   ,Taiwan   
    901-1000  ,   University of Bradford   ,UK   
    901-1000  ,   University of Central Lancashire   ,UK   
    901-1000  ,   University of Hertfordshire   ,UK   
    901-1000  ,   University of Portsmouth   ,UK   
    901-1000  ,   University of South Africa   ,South Africa   
    901-1000  ,   Augusta State University   ,USA   
    901-1000  ,   Loyola University of Chicago   ,USA   
    901-1000  ,   Amherst College   ,USA   
    901-1000  ,   University of Nebraska Medical Center   ,USA   
    901-1000  ,   North Dakota State University   ,USA   
    901-1000  ,   Lehigh University   ,USA   
    901-1000  ,   Amirkabir University of Technology   ,Iran   
    901-1000  ,   Taras Shevchenko National University of Kyiv   ,Ukraine   
    901-1000  ,   Kaohsiung Medical University   ,Taiwan   
    901-1000  ,   Guangxi Medical University   ,China   
    901-1000  ,   Wroclaw Medical University   ,Poland   
    901-1000  ,   University of Novi Sad   ,Serbia   
    901-1000  ,   University of Alabama in Huntsville   ,USA   
    901-1000  ,   Singapore University of Technology & Design   ,Singapore   
    901-1000  ,   Sunway University   ,Malaysia   
    901-1000  ,   Xi'an Jiaotong Liverpool University   ,China   
    901-1000  ,   Tianjin University of Science and Technology   ,China   
    901-1000  ,   Abdul Wali Khan University Mardan   ,Pakistan   
    901-1000  ,   Liaoning University of Technology   ,China   
    901-1000  ,   Linnaeus University   ,Sweden   
    901-1000  ,   Changsha University of Science and Technology   ,China   
    901-1000  ,   Wuhan Institute of Technology   ,China   
    901-1000  ,   Shanxi Medical University   ,China   
    901-1000  ,   Henan Polytechnic University   ,China   
    901-1000  ,   Yangtze University   ,China   
    901-1000  ,   Western Norway University of Applied Sciences   ,Norway   
    901-1000  ,   Zhejiang A & F University   ,China   
    901-1000  ,   Dalian Polytechnic University   ,China   
    901-1000  ,   Guangdong Ocean University   ,China   
    901-1000  ,   Guilin University of Electronic Technology   ,China   
    901-1000  ,   Hassan II University of Casablanca   ,Morocco   
    901-1000  ,   Jazan University   ,Saudi Arabia     
